"","supplier","SICCode.SicText_1"
"37789","FLEXIBLE BUSINESS INTERIORS","82990 - Other business support service activities n.e.c."
"37790","ARJO HUNTLEIGH","74909 - Other professional, scientific and technical activities n.e.c."
"37798","ARJOHUNTLEIGH UK","74909 - Other professional, scientific and technical activities n.e.c."
"37868","TRIANGLE COMMUNITY SERVICES LTD","88100 - Social work activities without accommodation for the elderly and disabled"
"37869","REAL LIFE OPTIONS","87300 - Residential care activities for the elderly and disabled"
"37872","ART SHAPE LTD","88100 - Social work activities without accommodation for the elderly and disabled"
"37873","IMAGINE","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"37885","FITZROY SUPPORT","87900 - Other residential care activities n.e.c."
"37926","KATHARINE HOUSE HOSPICE","86102 - Medical nursing home activities"
"37965","STUART & PARTNERS","68320 - Management of real estate on a fee or contract basis"
"37984","RICHMOND COVENTRY","99999 - Dormant Company"
"38032","TRANSITIONAL REHABILITATION UNIT LTD","86210 - General medical practice activities"
"38036","BLUE CHIP DATA SYSTEMS LTD","62090 - Other information technology service activities"
"38040","OAKDOWN HOUSE LTD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"38041","CALL PLUS","88990 - Other social work activities without accommodation n.e.c."
"38050","ST ANDREWS HOSPICE","86900 - Other human health activities"
"38080","WCS CARE GROUP","87300 - Residential care activities for the elderly and disabled"
"38081","WCS CARE GROUP LTD","87300 - Residential care activities for the elderly and disabled"
"38083","COUNSELLING FOUNDATION (THE)","96040 - Physical well-being activities"
"38093","ASPIRE LIVING LTD","87300 - Residential care activities for the elderly and disabled"
"38096","SWAN WOMENS CENTRE","88990 - Other social work activities without accommodation n.e.c."
"38106","FINEVALLEY COMMUNICATIONS LTD","61100 - Wired telecommunications activities"
"38109","FREEMANTLE TRUST","87100 - Residential nursing care facilities"
"38110","WESTGATE HEALTHCARE","86900 - Other human health activities"
"38117","WESTGATE HEALTHCARE LTD","86900 - Other human health activities"
"38133","ATLANTIC ENTERPRISE UK LTD","86210 - General medical practice activities"
"38137","REFUGEE COUNCIL","82990 - Other business support service activities n.e.c."
"38141","RAND EUROPE","72200 - Research and experimental development on social sciences and humanities"
"38155","MONARCH HEALTHCARE LTD","86900 - Other human health activities"
"38199","SAXON ENTERPRISES LTD","62090 - Other information technology service activities"
"38200","WEST LONDON CENTRE FOR COUNSELLING","86900 - Other human health activities"
"38203","BUPA CARE HOMES(CFHC)","70100 - Activities of head offices"
"38204","BUPAAA CAREAA HOMES","70100 - Activities of head offices"
"38221","LIFEWAYS RAGLIN LTD","87300 - Residential care activities for the elderly and disabled"
"38223","HYDE PHYSIOTHERAPY CENTRE","86900 - Other human health activities"
"38297","GREENWICH & BEXLEY COMMUNITY HOSPICE","86220 - Specialists medical practice activities"
"38316","DEMENTIA CONCERN","88990 - Other social work activities without accommodation n.e.c."
"38325","MARY ANN EVANS HOSPICE","86900 - Other human health activities"
"38331","NAS SERVICES LTD","85590 - Other education n.e.c."
"38348","FOUNDATION TRUST NAS SERVICES LTD","85590 - Other education n.e.c."
"38383","NHS TRUST NAS SERVICES LTD","85590 - Other education n.e.c."
"38398","CARERS CENTRE FOR BRIGHTON & HOVE","88990 - Other social work activities without accommodation n.e.c."
"38399","HEALTHCARE AT HOME LTD","86102 - Medical nursing home activities"
"38878","SENTINEL HEALTHCARE LTD","55100 - Hotels and similar accommodation"
"38888","DAISY IT CONTINUITY AND RESILIENCE SERVICES LTD","62090 - Other information technology service activities"
"38892","BECKEDGE LTD","86102 - Medical nursing home activities"
"38900","LAUREL CARE HOME LTD","87100 - Residential nursing care facilities"
"38902","LAURELS CARE HOME","87100 - Residential nursing care facilities"
"38903","LLOYDS PHARMACY CLINICAL HOMECARE LTD","46460 - Wholesale of pharmaceutical goods"
"38942","THREE CS SUPPORT","86900 - Other human health activities"
"38947","ST GEMMAS HOSPICE SERVICES LTD","86101 - Hospital activities"
"38951","ST GEMMAS HOSPICE","86101 - Hospital activities"
"38992","ROCHDALE GATEWAY LEISURE LTD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"38997","WILLOWS NURSING HOME","87300 - Residential care activities for the elderly and disabled"
"39003","PRIME LIFE LTD","86900 - Other human health activities"
"39057","YOUNG MINDS","88990 - Other social work activities without accommodation n.e.c."
"39058","ROTHERHAM HEALTHCARE LTD","87300 - Residential care activities for the elderly and disabled"
"39082","COMPLETE PRICE EYEWEAR LTD","86900 - Other human health activities"
"39085","BLACK COUNTRY WOMENS AID","55900 - Other accommodation"
"39091","BARCHESTER HEALTHCARE LTD","70100 - Activities of head offices"
"39093","BARCHESTER HEALTHCARE LTD TOTAL BARCHESTER HEALTHCARE LTD","70100 - Activities of head offices"
"39168","BARCHESTERAA HEALTHCAREAA LTD","70100 - Activities of head offices"
"39215","TOTAL BARCHESTER HEALTHCARE LTD","70100 - Activities of head offices"
"39570","BARCHESTER HEALTHCARE LTD TOTAL BPAS","70100 - Activities of head offices"
"39646","DOVECOTE CARE HOMES LTD","86102 - Medical nursing home activities"
"39648","CHS HEALTHCARE","70100 - Activities of head offices"
"39842","CORONA ENERGY RETAIL 4 LTD","35140 - Trade of electricity"
"39931","BEAUMOND HOUSE COMMUNITY HOSPICE","86900 - Other human health activities"
"39948","ALMONDSBURY CARE LTD","87100 - Residential nursing care facilities"
"39993","AMBULINE LTD","49390 - Other passenger land transport"
"40000","CARETECH COMMUNITY SERVICES LTD","86900 - Other human health activities"
"40042","HAVENS CHRISTIAN HOSPICE","86220 - Specialists medical practice activities"
"40043","FAIR HAVENS HOSPICE","86220 - Specialists medical practice activities"
"40044","HAVENS HOSPICES","86220 - Specialists medical practice activities"
"40050","LITTLE HAVEN CHILDRENS HOSPICE","86220 - Specialists medical practice activities"
"40060","OPEN ROAD VISIONS LTD","86900 - Other human health activities"
"40064","WORKERS EDUCATIONAL ASSOCIATION","85590 - Other education n.e.c."
"40065","PAYDENS (NURSING HOMES) LTD","86900 - Other human health activities"
"40145","WILLOWBROOK HOSPICE","86101 - Hospital activities"
"40159","HEART OF ENGLAND MENCAP","87300 - Residential care activities for the elderly and disabled"
"40160","ALLOCATE SOFTWARE PLC","62020 - Information technology consultancy activities"
"40161","ALLOCATE SOFTWARE LTD","62020 - Information technology consultancy activities"
"40163","REDWOOD TECHNOLOGIES LTD","61900 - Other telecommunications activities"
"40166","ELMCARE LTD","55900 - Other accommodation"
"40168","SEFTON COUNCIL FOR VOLUNTARY SERVICE","88990 - Other social work activities without accommodation n.e.c."
"40189","LONSDALE MIDLANDS LTD","86900 - Other human health activities"
"40193","WOMENS HEALTH MATTERS","86900 - Other human health activities"
"40195","HOSPEDIA LTD","86900 - Other human health activities"
"40198","SPRINGBOARD OPPURTUNITY GROUP","88910 - Child day-care activities"
"40200","CHASEWOOD CARE LTD","96090 - Other service activities n.e.c."
"40201","BARCHESTER HEALTHCARE HOMES LTD","86900 - Other human health activities"
"40324","ST MARTINS CARE LTD","86900 - Other human health activities"
"40325","APOGEE CORPORATION LTD","62090 - Other information technology service activities"
"40327","WILLOW WOOD HOSPICE","87900 - Other residential care activities n.e.c."
"40358","NORTH EAST AUTISM SOCIETY","85200 - Primary education"
"40360","SHARED APPROACH LTD","88100 - Social work activities without accommodation for the elderly and disabled"
"40361","EURO PROPERTY INVESTMENTS LTD","68209 - Other letting and operating of own or leased real estate"
"40370","OPTIONS FOR SUPPORTED LIVING","88100 - Social work activities without accommodation for the elderly and disabled"
"40371","BRAIN INJURY REHABILITATION TRUST","87300 - Residential care activities for the elderly and disabled"
"40423","INFORMATICA SYSTEMS LTD","62020 - Information technology consultancy activities"
"40437","NOTTINGHAMSHIRE DEAF SOCIETY","88990 - Other social work activities without accommodation n.e.c."
"40440","SMITH MEEHAN LTD","41201 - Construction of commercial buildings"
"40446","BARONS PARK NURSING HOME LTD","87100 - Residential nursing care facilities"
"40447","RIVERSIDE NURSING HOME LTD","55900 - Other accommodation"
"40454","IMOSPHERE LTD","58290 - Other software publishing"
"40457","BLYTHE HOUSE HOSPICE","86220 - Specialists medical practice activities"
"40459","JISC SERVICES LTD","61900 - Other telecommunications activities"
"40461","FIRSTSITE LTD","90040 - Operation of arts facilities"
"40463","DAISY CORPORATE SERVICES TRADING LTD","61900 - Other telecommunications activities"
"40464","MEERA NURSING HOME LTD","86102 - Medical nursing home activities"
"40465","HEALTH@WORK","82990 - Other business support service activities n.e.c."
"40467","HEALTH @ WORK","82990 - Other business support service activities n.e.c."
"40476","AGE CONCERN","87900 - Other residential care activities n.e.c."
"40501","BIRMINGHAM DISABILITY RESOURCE CENTRE","86900 - Other human health activities"
"40504","DISABILITY RESOURCE CENTRE","88100 - Social work activities without accommodation for the elderly and disabled"
"40528","HARPENDEN MENCAP","87300 - Residential care activities for the elderly and disabled"
"40529","WITTON LODGE COMMUNITY ASSOCIATION","41100 - Development of building projects"
"40532","OPINION RESEARCH SERVICES","73200 - Market research and public opinion polling"
"40534","MARIPOSA CARE LTD","87100 - Residential nursing care facilities"
"40535","KEECH HOSPICE CARE","86900 - Other human health activities"
"40566","OPCARE LTD","86900 - Other human health activities"
"40733","PRIMARY HEALTH INVESTMENT PROPERTIES (NO 4) LTD","68209 - Other letting and operating of own or leased real estate"
"40736","PRIMARY HEALTH INVESTMENT PROPERTIES LTD","68209 - Other letting and operating of own or leased real estate"
"40740","PRIMARY HEALTH INVESTMENT PROPERTIES (NO 6) LTD","68209 - Other letting and operating of own or leased real estate"
"40751","EDUCATION & SERVICES FOR PEOPLE WITH AUTISM LTD","85590 - Other education n.e.c."
"40753","LAWTON RISE CARE HOME LTD","86900 - Other human health activities"
"40759","LAWTON RISE CARE  HOME LTD","86900 - Other human health activities"
"40774","FIRLAWN NURSING HOME LTD","87100 - Residential nursing care facilities"
"40777","GRANT THORNTON","74990 - Non-trading company"
"40778","LOWMOOR RESIDENTIAL CARE HOME","86102 - Medical nursing home activities"
"40811","CHESSEL SUPPORT SERVICES LTD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"40814","LEEDS JEWISH WELFARE BOARD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"40819","CATALYST PERFORMING ARTS","90010 - Performing arts"
"40820","CEDARS NURSING HOME","87100 - Residential nursing care facilities"
"40824","FARRELL & PARTNERS","43210 - Electrical installation"
"40839","EARL MOUNTBATTEN HOSPICE","86101 - Hospital activities"
"40874","RILA PUBLICATIONS LTD","58110 - Book publishing"
"40875","IDOX SOFTWARE LTD","62090 - Other information technology service activities"
"40881","GRAPHNET HEALTH LTD","62090 - Other information technology service activities"
"40935","ADVANCED HEALTH & CARE LTD","62020 - Information technology consultancy activities"
"40938","ADVANCED HEALTH & CARE","62020 - Information technology consultancy activities"
"40993","ADVANCED HEALTH AND CARE LTD","62020 - Information technology consultancy activities"
"41006","OAKHURST COURT LTD","87100 - Residential nursing care facilities"
"41008","OAKHURST COURT LTD TOTAL OAKVIEW ESTATES LTD","87100 - Residential nursing care facilities"
"41013","OAKHURST COURT LTD TOTAL OAKHURST COURT LTD","87100 - Residential nursing care facilities"
"41022","CVS WEST LANCASHIRE LTD","88990 - Other social work activities without accommodation n.e.c."
"41023","ST DOMINICS NURSING & RESIDENTIAL HOME","87300 - Residential care activities for the elderly and disabled"
"41083","ALCURA UK LTD","46460 - Wholesale of pharmaceutical goods"
"41084","CORINTHIAN CARE LTD","99999 - Dormant Company"
"41085","BELVIDERE NURSING HOME LTD","87300 - Residential care activities for the elderly and disabled"
"41088","DEMELZA HOSPICE CARE FOR CHILDREN","86900 - Other human health activities"
"41117","CAREWATCH CARE SERVICES LTD","88100 - Social work activities without accommodation for the elderly and disabled"
"41118","CAREWATCH (LEEDS)","88100 - Social work activities without accommodation for the elderly and disabled"
"41119","CROSS ROADS CARE SANDWELL","86900 - Other human health activities"
"41127","CROSS ROADS CARE","86900 - Other human health activities"
"41174","EAST RIDING FERTILITY SERVICES LTD","86220 - Specialists medical practice activities"
"41214","SOCIAL ACTION FOR HEALTH","74909 - Other professional, scientific and technical activities n.e.c."
"41215","PRINCESS ROYAL TRUST FOR CARERS","63990 - Other information service activities n.e.c."
"41217","SUGARMAN HEALTH & WELLBEING LTD","78200 - Temporary employment agency activities"
"41249","EXPRESS DIAGNOSTICS LTD","86900 - Other human health activities"
"41253","BIRCHESTER MEDICARE LTD","70100 - Activities of head offices"
"41265","AGE UK HERNE BAY","88100 - Social work activities without accommodation for the elderly and disabled"
"41271","CHESS CYBERSECURITY LTD","62020 - Information technology consultancy activities"
"41272","CHESS","62020 - Information technology consultancy activities"
"41274","SHEFFIELD FUTURES","85600 - Educational support services"
"41278","SMILE SUPPORT & CARE","87900 - Other residential care activities n.e.c."
"41279","WESTWARD CARE LTD","86900 - Other human health activities"
"41300","LEABROOK HOUSE LTD","86900 - Other human health activities"
"41316","COMPAREX UK LTD","62020 - Information technology consultancy activities"
"41317","AMRIT LTD","63990 - Other information service activities n.e.c."
"41318","BUTTERWICK HOSPICE CARE","86900 - Other human health activities"
"41338","DATRIX LTD","46510 - Wholesale of computers, computer peripheral equipment and software"
"41340","PRECIOUS HOMES LTD","87900 - Other residential care activities n.e.c."
"41373","CAMBRIDGE DOCTORS ON CALL","86900 - Other human health activities"
"41425","OFF THE RECORD YOUTH COUNSELLING CROYDON","86900 - Other human health activities"
"41438","ROCHE HEALTHCARE LTD","86102 - Medical nursing home activities"
"41466","CARE MANAGEMENT GROUP LTD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"41468","CARE MANAGMENT GROUP LTD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"41516","OLIVER WYMAN LTD","96090 - Other service activities n.e.c."
"41518","DELAM CARE LTD","86900 - Other human health activities"
"41521","WIRED","96090 - Other service activities n.e.c."
"41524","MEL RESEARCH LTD","74909 - Other professional, scientific and technical activities n.e.c."
"41525","NEW CENTURY CARE (COLCHESTER) LTD","87300 - Residential care activities for the elderly and disabled"
"41526","TAMEHAVEN LTD","87100 - Residential nursing care facilities"
"41528","NLA MEDIA ACCESS LTD","74909 - Other professional, scientific and technical activities n.e.c."
"41529","GHX UK LTD","62090 - Other information technology service activities"
"41530","HILLINGDON MIND","86900 - Other human health activities"
"41535","PERTHYN","81100 - Combined facilities support activities"
"41536","HCA INTERNATIONAL LTD","86101 - Hospital activities"
"41537","GUILD CARE","87100 - Residential nursing care facilities"
"41539","AMOCURA LTD","87100 - Residential nursing care facilities"
"41553","WEST KENT MIND","88990 - Other social work activities without accommodation n.e.c."
"41555","BIRCHALL BLACKBURN LAW","99999 - Dormant Company"
"41556","BIRCHALL BLACKBURN","99999 - Dormant Company"
"41557","ISLAND HEALTHCARE LTD","87100 - Residential nursing care facilities"
"41561","PROSPECTS SERVICES","85600 - Educational support services"
"41569","ACTIVECARE LTD","86102 - Medical nursing home activities"
"41571","LIAISE LODDON LTD","85320 - Technical and vocational secondary education"
"41582","LIAISEAA LODDONAA LTD","85320 - Technical and vocational secondary education"
"41593","BEECHES WORTHING LTD","86102 - Medical nursing home activities"
"41594","NORTH EAST LINCS CARELINK","88100 - Social work activities without accommodation for the elderly and disabled"
"41596","SIEMENS HEALTHCARE DIAGNOSTICS LTD","20590 - Manufacture of other chemical products n.e.c."
"41606","HORDER CENTRE","86101 - Hospital activities"
"41611","HORDER HEALTHCARE","86101 - Hospital activities"
"42027","VIRTUAL COLLEGE LTD","85590 - Other education n.e.c."
"42028","CARERS RESOURCE","63990 - Other information service activities n.e.c."
"42051","OCS GROUP UK LTD","81100 - Combined facilities support activities"
"42066","ISABEL HOSPICE","86900 - Other human health activities"
"42080","ASHTON LODGE LTD","87300 - Residential care activities for the elderly and disabled"
"42099","ASHTONAA LODGEAA LTD","87300 - Residential care activities for the elderly and disabled"
"42114","ROY CASTLE LUNG CANCER FOUNDATION","86900 - Other human health activities"
"42116","ESSEX COMMUNITY FOUNDATION","88990 - Other social work activities without accommodation n.e.c."
"42117","WOODLANDS HOSPICE CHARITABLE TRUST","86900 - Other human health activities"
"42234","MONREAD LODGE NURSING HOME LTD","87300 - Residential care activities for the elderly and disabled"
"42237","ASIST","88990 - Other social work activities without accommodation n.e.c."
"42239","HILLCREST CARE LTD","88990 - Other social work activities without accommodation n.e.c."
"42310","CONNECTION SUPPORT","88990 - Other social work activities without accommodation n.e.c."
"42311","ORDERS OF ST JOHN CARE TRUST","87100 - Residential nursing care facilities"
"42316","MEDICREST LTD","96090 - Other service activities n.e.c."
"42317","CORNWALL CARE LTD","87300 - Residential care activities for the elderly and disabled"
"42520","PCS BUSINESS SYSTEMS LTD","62090 - Other information technology service activities"
"42521","ALZHEIMERS SUPPORT","86900 - Other human health activities"
"42527","NTT DATA UK LTD","63990 - Other information service activities n.e.c."
"42528","EDUCATION FOR HEALTH","85421 - First-degree level higher education"
"42530","LEEDS INVOLVING PEOPLE","94990 - Activities of other membership organizations n.e.c."
"42534","CAREHOME SELECTION LTD","86900 - Other human health activities"
"42637","WEIR NURSING HOME","82990 - Other business support service activities n.e.c."
"42640","SUNQUEST INFORMATION SYSTEMS (EUROPE) LTD","62020 - Information technology consultancy activities"
"42644","SUNQUEST INFORMATION SYSTEMS (EUROPE)  LTD","62020 - Information technology consultancy activities"
"42654","PROACT MEDICAL LTD","46180 - Agents specialized in the sale of other particular products"
"42657","BMJ PUBLISHING GROUP LTD","58141 - Publishing of learned journals"
"42658","ARTS 4 WELLBEING LTD","86900 - Other human health activities"
"42660","CUMBRIA HEALTH ON CALL (CHOC)","86210 - General medical practice activities"
"42704","CARERS FEDERATION","86900 - Other human health activities"
"42720","SEFTON CARERS CENTRE","88990 - Other social work activities without accommodation n.e.c."
"42742","SAFE PATIENT SYSTEMS LTD","74909 - Other professional, scientific and technical activities n.e.c."
"42748","VALTECH LTD","62020 - Information technology consultancy activities"
"42750","CARERS TRUST EAST MIDLANDS","88990 - Other social work activities without accommodation n.e.c."
"42758","EAST MIDLANDS CROSSROADS","88990 - Other social work activities without accommodation n.e.c."
"42790","ROSES THEATRE TRUST","90040 - Operation of arts facilities"
"42791","COMMONTIME LTD","62012 - Business and domestic software development"
"42792","MARIA MALLABAND CARE GROUP","41100 - Development of building projects"
"42793","MARIA MALLABAND CARE GROUP LTD","41100 - Development of building projects"
"42851","MARIA MALLABAND CARE GROUP TOTAL MARIA MALLABAND CARE GROUP","41100 - Development of building projects"
"42959","AGE CONCERN HILLINGDON","88100 - Social work activities without accommodation for the elderly and disabled"
"42964","VENUS","63990 - Other information service activities n.e.c."
"42975","YOUTH ENQUIRY SERVICE (PLYMOUTH) LTD","63990 - Other information service activities n.e.c."
"42976","GRAYLING COMMUNICATIONS LTD","70210 - Public relations and communications activities"
"42977","CARERS WAKEFIELD & DISTRICT","88990 - Other social work activities without accommodation n.e.c."
"42982","SCOTT PROJECT TRUST","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"42983","CORNWALLIS CARE SERVICES LTD","86900 - Other human health activities"
"43011","EXCELCARE HOLDINGS LTD","96090 - Other service activities n.e.c."
"43012","ANGEL CARE PLC","87100 - Residential nursing care facilities"
"43013","AUTISM SUSSEX LTD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"43015","MIND IN ENFIELD","96090 - Other service activities n.e.c."
"43017","MINDAA INAA ENFIELD","96090 - Other service activities n.e.c."
"43019","ORCHARD HOUSE NURSING HOME","87100 - Residential nursing care facilities"
"43021","ORCHARD HOUSE NURSING HOME (MABLETHORPE)","87100 - Residential nursing care facilities"
"43027","CARDELL CARE LTD","32990 - Other manufacturing n.e.c."
"43028","REGARD PARTNERSHIP LTD (THE)","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"43029","REGARD PARTNERSHIP LTD TOTAL TRUST","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"43030","REGARD PARTNERSHIP LTD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"43034","TOTAL REGARD PARTNERSHIP LTD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"43046","SALIX HEALTH LTD","70229 - Management consultancy activities other than financial management"
"43055","POLAR SPEED DISTRIBUTION LTD","49410 - Freight transport by road"
"43066","CROSSCROWN LTD","87100 - Residential nursing care facilities"
"43079","PULSE HEALTHCARE LTD","78200 - Temporary employment agency activities"
"43329","VOYAGE LTD TOTAL WESTCOTT HOUSE","96090 - Other service activities n.e.c."
"43330","VOYAGE LTD","96090 - Other service activities n.e.c."
"43340","VOYAGEAA LTD","96090 - Other service activities n.e.c."
"43370","EQUILIBRIUM HEALTHCARE LTD","86101 - Hospital activities"
"43373","SOUTH DOC SERVICES LTD","86210 - General medical practice activities"
"43433","BRENTWOOD HOMES LTD","87100 - Residential nursing care facilities"
"43434","PROGRESS CARE & EDUCATION LTD","85590 - Other education n.e.c."
"43439","COMMUNITY ACTION HAMPSHIRE","94990 - Activities of other membership organizations n.e.c."
"43443","PRIORY LODGE","98000 - Residents property management"
"43444","DE SOUTTER MEDICAL LTD","32500 - Manufacture of medical and dental instruments and supplies"
"43445","KONICA MINOLTA BUSINESS SOLUTIONS EAST LTD","82190 - Photocopying, document preparation and other specialised office support activities"
"43447","MARTHA TRUST HEREFORD LTD","87100 - Residential nursing care facilities"
"43448","ST BARNABAS HOSPICE TRUST","86101 - Hospital activities"
"43886","DARTS (DONCASTER COMUNNITY ARTS)","90040 - Operation of arts facilities"
"43887","KING CHARLES COURT LTD","86102 - Medical nursing home activities"
"43900","CARE FORUM","86900 - Other human health activities"
"43901","BRENTWOOD CROSSROADS","88100 - Social work activities without accommodation for the elderly and disabled"
"43902","CAREWATCH WESSEX","86900 - Other human health activities"
"43903","KEYRING LIVING SUPPORT NETWORK","88100 - Social work activities without accommodation for the elderly and disabled"
"43920","ANS GROUP PLC","61900 - Other telecommunications activities"
"43976","BEACON HOUSE MINISTRIES","86900 - Other human health activities"
"43978","MARSHMEAD LTD","86102 - Medical nursing home activities"
"43994","GLOUCESTERSHIRE RURAL COMMUNITY COUNCIL","88100 - Social work activities without accommodation for the elderly and disabled"
"43995","NEWCROSS HEALTHCARE SOLUTIONS LTD","78200 - Temporary employment agency activities"
"44082","PRIMARY CARE DEVELOPMENT SERVICES LTD","68209 - Other letting and operating of own or leased real estate"
"44083","ERBE MEDICAL UK LTD","32500 - Manufacture of medical and dental instruments and supplies"
"44084","NORFOLK HOSPICE (THE)","96090 - Other service activities n.e.c."
"44090","RED HOUSE (ASHTEAD) LTD","86102 - Medical nursing home activities"
"44091","HELP AND CARE","88100 - Social work activities without accommodation for the elderly and disabled"
"44137","WEST LODGE CARE HOMES LTD","86900 - Other human health activities"
"44138","AMCARE LTD","86900 - Other human health activities"
"44422","INTEGRATED CARE 24 LTD","86900 - Other human health activities"
"45926","TRUST INTEGRATED CARE 24 LTD","86900 - Other human health activities"
"46254","IDEAL FOR ALL LTD","88100 - Social work activities without accommodation for the elderly and disabled"
"46259","IDEAL FOR ALL PHB BC143839 15E","88100 - Social work activities without accommodation for the elderly and disabled"
"46260","HEALTH FOR ALL","86900 - Other human health activities"
"46262","VALE HOUSE STABILISATION SERVICES","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"46263","CUERDEN DEVELOPMENTS LTD","42990 - Construction of other civil engineering projects n.e.c."
"46313","MIHOMECARE LTD","86900 - Other human health activities"
"46314","ST PETERS & ST JAMES CHARITABLE","86102 - Medical nursing home activities"
"46334","CROSSROADS COVENTRY & WARWICKSHIRE","88990 - Other social work activities without accommodation n.e.c."
"46335","NELSON TRUST (THE)","86900 - Other human health activities"
"46339","NORTHPOINT WELLBEING LTD","86900 - Other human health activities"
"46340","LEEDS COUNSELLING","86900 - Other human health activities"
"46424","ASSOCIATION OF COLLEGES","94110 - Activities of business and employers membership organizations"
"46425","V M ( CONSTRUCTION LTD )","43390 - Other building completion and finishing"
"46428","AXIS COUNSELLING","88990 - Other social work activities without accommodation n.e.c."
"46430","ESSITY UK LTD","17120 - Manufacture of paper and paperboard"
"46506","OLDERCARE (HASLEMERE) LTD","86900 - Other human health activities"
"46521","PREMIER PRIMARYCARE LTD","86210 - General medical practice activities"
"46545","WAREHAM HEALTH CENTRE","43342 - Glazing"
"46594","RICHARD HOUSE TRUST","87100 - Residential nursing care facilities"
"46595","ABSOLUTE CARE HOMES (CENTRAL) LTD","87100 - Residential nursing care facilities"
"46597","DOVE COTTAGE DAY HOSPICE","86101 - Hospital activities"
"46598","CORONA ENERGY","70100 - Activities of head offices"
"46599","CARERS LEEDS","86900 - Other human health activities"
"46613","DERBYSHIRE CARERS ASSOCIATION","82990 - Other business support service activities n.e.c."
"46615","APR TELECOMS (MAINTENANCE) LTD","61900 - Other telecommunications activities"
"46616","AGE UK LAMBETH","88100 - Social work activities without accommodation for the elderly and disabled"
"46622","CHEADLE ROYAL HOSPITAL PRIORY","86101 - Hospital activities"
"46630","HEALTH INTELLIGENCE LTD","86900 - Other human health activities"
"46632","GREENSLEEVES HOMES TRUST","87300 - Residential care activities for the elderly and disabled"
"46633","TS BOOKER & SON ( MANUFACTURING ) LTD","31090 - Manufacture of other furniture"
"46634","ROBERTSON NURSING HOME LTD","87100 - Residential nursing care facilities"
"46635","HOWSON CARE CENTRE LTD","87100 - Residential nursing care facilities"
"46637","SUNBURY NURSING HOMES LTD","87100 - Residential nursing care facilities"
"46641","SUNBURYAA NURSINGAA HOMESAA LTD","87100 - Residential nursing care facilities"
"46649","SUNBURY NURSING HOMES LTD TOTAL SUNBURY NURSING HOMES LTD","87100 - Residential nursing care facilities"
"46653","SUNBURY NURSING HOMES LTD TOTAL TRUST","87100 - Residential nursing care facilities"
"46659","PROSPECT HOUSE MALPAS LTD","87100 - Residential nursing care facilities"
"46660","OAKWOOD HOUSE PSYCHOLOGICAL SERVICES & TRAINING LTD","86900 - Other human health activities"
"46676","AGE UK PORTSMOUTH","96090 - Other service activities n.e.c."
"46677","BAND","88990 - Other social work activities without accommodation n.e.c."
"46687","SANDWELL COMMUNITY CARING TRUST","86900 - Other human health activities"
"46693","TOTAL EPSOMEDICAL LTD","86101 - Hospital activities"
"46694","EPSOMEDICAL LTD","86101 - Hospital activities"
"46711","ANCHORSTONEAA TOTAL ASHCROFTAA CAREAA SERVICES","87300 - Residential care activities for the elderly and disabled"
"46712","ANCHORSTONE TOTAL ASHCROFT CARE SERVICES","87300 - Residential care activities for the elderly and disabled"
"46713","BATH & NORTH EAST SOMERSET CARERS CENTRE","86900 - Other human health activities"
"46714","SHAKESPEARE HOSPICE","86900 - Other human health activities"
"46716","TRILOGY TECHNOLOGIES UK LTD","62020 - Information technology consultancy activities"
"46717","AGE CONCERN NORTHAMPTONSHIRE","88100 - Social work activities without accommodation for the elderly and disabled"
"46719","CHAPTER (WEST CHESHIRE) LTD","88100 - Social work activities without accommodation for the elderly and disabled"
"46720","STEPHEN PENNY & PARTNERS","69201 - Accounting and auditing activities"
"46721","SURREY COALITION OF DISABLED PEOPLE","94990 - Activities of other membership organizations n.e.c."
"46722","ST JOHNS SCHOOL & COLLEGE","85200 - Primary education"
"46724","BEAUMONT HEALTHCARE LTD","88100 - Social work activities without accommodation for the elderly and disabled"
"46727","SELF HELP NOTTINGHAM","86900 - Other human health activities"
"46736","BIG LIFE SERVICES","86900 - Other human health activities"
"46762","HARWOOD HOUSE LTD","86900 - Other human health activities"
"46765","SUNDERLAND COUNSELLING SERVICES","86900 - Other human health activities"
"46789","INSTITUTE OF CUSTOMER SERVICE(THE)","94120 - Activities of professional membership organizations"
"46791","FRAMEWORK HOUSING ASSOCIATION","68201 - Renting and operating of Housing Association real estate"
"46813","DORSET COMMUNITY ACTION","94990 - Activities of other membership organizations n.e.c."
"46818","EARLY BREAK LTD","88990 - Other social work activities without accommodation n.e.c."
"46821","LONDON RESIDENTIAL HEALTHCARE LTD","41100 - Development of building projects"
