"","ccg19cd","year","Total_Procurement_Spend","Social_Care_Procurement_Spend","Hospital_Services_Procurement_Spend","GP_Services_Procurement_Spend","Other_Health_Services_Procurement_Spend","Private_Sector_Procurement_Spend","Charity_Sector_Procurement_Spend","Health_Services_Procurement_Spend","Building_Maintenance_Procurement_Spend","Specialist_Services_Procurement_Spend","NotAssigned_Procurement_Spend","Foundational_Services_Procurement_Spend","Professional_Services_Spend","Dental_Services_Procurement_Spend","Medical_Nursing_Homes_Procurement_Spend","nogpPrivate_Sector_Procurement_Spend","NOGPTotal_Procurement_Spend","nogpHealth_Services_Procurement_Spend","Food_Procurement_Spend","Transport_Procurement_Spend","Management_Procurement_Spend","Total_Private_sector_spend","Total_Management_Procurement_Spend","lag_check_private","Avoidable_Mortality_Rate","Treatable_Mortality_Rate","Preventatable_Mortality_Rate","RGN19CD","RGN19NM","id","Unemployment_percent","Qual_lvl4_percent","BAME_percent","Est_Population","Local_Authority_Expenditure","Claimant_percent","GDHI_per_person","Local_Authority_Spend_per_pop","CCGpop","Total_Rural_population_2011","Total_Urban_population_2011","RUC11CD","RUC11","Broad_RUC11","OBJECTID","total_spend_10millions","Lagged_Private_Procurement","Lagged_Total_Spend","Lagged_Treatable_Mortality_Rate","Lagged_Local_Authority_Spend_per_pop","Lagged_Claimant_percent","Lagged_CCGpop","Lagged_Unemployment_percent","Lagged_BAME_percent","Lagged_Qual_lvl4_percent","Lagged_GDHI_per_person","dept","number_of_doctors","Treatable_Mortality_2013","Private_Sector_Procurement_Spendten","Lagged_Private_Procurementten","Preventable_Mortality_Rate_FD","Treatable_Mortality_Rate_FD","Private_Sector_Procurement_Spendten_FD","Private_Sector_Procurement_Spend_FD","Local_Authority_Spend_per_pop_FD","Claimant_percent_FD","CCGpop_FD","Unemployment_percent_FD","BAME_percent_FD","Qual_lvl4_percent_FD","total_spend_10millions_FD","GDHI_FD","Private_Sector_Procurement_Spendten_FD_lagged","Local_Authority_Spend_per_pop_FD_lagged","total_spend_10millions_FD_lagged","GDHI_FD_lagged","Private_Sector_Procurement_Spend_FD_lagged","lagged_tot_prive"
"NHS_ENF_CCG-2015","E38000057","2015",123778378,0.766940894959861,1.33498517810599,0.322780930284932,0.833742545891173,3.97373198734273,0.712895914664514,2.71031181229407,0,0.218803158011975,0.0600137125726433,0,0.290368161069294,0,0,4.64506860961456,123378845,2.39526233204728,0,0,0,4918621,0,4.13883330610169,206.8,82.2,124.6,"E12000007","London",49,3.5,43.7,36.3,328738,814713,2.1,21394,2.47830491151008,328738,1478,310988,6,"Urban with Major Conurbation","Predominantly Urban",55,12.3778378,4.13883330610169,17.4508961,69.9,2.45369888011738,2.5,324409,7.1,33.2,41,20059,"NHS_ENF_CCG",252,80.8,0.397373198734273,0.413883330610169,0.100379185307622,0.16208965282237,-0.0165101318758952,-0.165101318758952,0.0246060313926955,-0.4,0.0132560155416996,-3.6,3.09999999999999,2.7,-5.0730583,0.0644325780413784,NA,-0.0313456226720414,NA,0.0367610057833012,NA,0.00000174508961
"NHS_ENF_CCG-2016","E38000057","2016",28432817,0.802931345142481,0.49133717563054,0.211611111202946,0.633057216947586,3.01227627216818,0.234303199714611,1.43651963855709,0,0.100514134776023,0,0,0.397727034925875,0,0,3.25346416355187,28372650,1.22750606658173,0,0,0,856475,0,3.97373198734273,194.6,76.5,118.2,"E12000007","London",49,5.7,41.4,36.8,332127,820258,2.1,21860,2.46971188732021,332127,1478,310988,6,"Urban with Major Conurbation","Predominantly Urban",55,2.8432817,3.97373198734273,12.3778378,82.2,2.47830491151008,2.1,328738,3.5,36.3,43.7,21394,"NHS_ENF_CCG",252,80.8,0.301227627216818,0.397373198734273,-0.0527305013813546,-0.0718645612296447,-0.0961455715174555,-0.961455715174555,-0.00859302418986641,0,0.0102563449663542,2.2,0.5,-2.3,-9.5345561,0.021547973864454,-0.0165101318758952,0.0246060313926955,-5.0730583,0.0644325780413784,-0.165101318758952,0.00000123778378
"NHS_ENF_CCG-2017","E38000057","2017",22501900,0,0,1.20208071318422,1.7878134735289,2.33106982077069,1.91016758584831,3.11224829903253,0,0.122354112319404,0,0,0,0,0,4.29284081814158,22231409,1.93340871916845,0,0,0,524535,0,3.01227627216818,200.5,75.8,124.7,"E12000007","London",49,6.6,36.1,30.9,332705,751894,2.1,21954,2.25994199065238,332705,1478,310988,6,"Urban with Major Conurbation","Predominantly Urban",55,2.25019,3.01227627216818,2.8432817,76.5,2.46971188732021,2.1,332127,5.7,36.8,41.4,21860,"NHS_ENF_CCG",252,80.8,0.233106982077069,0.301227627216818,0.0535327477139926,-0.00919244818416409,-0.0681206451397488,-0.681206451397488,-0.209769896667832,0,0.00173878557477991,0.899999999999999,-5.9,-5.3,-0.5930917,0.00429087251673188,-0.0961455715174555,-0.00859302418986641,-9.5345561,0.021547973864454,-0.961455715174555,0.00000028432817
"NHS_ENF_CCG-2018","E38000057","2018",110573216,0.784506439606496,0,0.927484102479212,1.41230766047358,3.63912269676591,0.620365423756871,2.36453374025044,0,0.0247419772976486,0.0822278697220853,0,0.258707316607306,0,0,4.27653561987769,109547667,1.45050282084054,0,0,0,4023895,0,2.33106982077069,195.1,82,113.1,"E12000007","London",49,5,40.8,34.6,333869,712215,2.7,22635,2.1332169204089,333869,1478,310988,6,"Urban with Major Conurbation","Predominantly Urban",55,11.0573216,2.33106982077069,2.25019,75.8,2.25994199065238,2.1,332705,6.6,30.9,36.1,21954,"NHS_ENF_CCG",252,80.8,0.363912269676591,0.233106982077069,-0.0976384695639156,0.0786209546159276,0.130805287599522,1.30805287599522,-0.126725070243477,0.6,0.00349248900543664,-1.6,3.7,4.7,8.8071316,0.0305480256227977,-0.0681206451397488,-0.209769896667832,-0.5930917,0.00429087251673188,-0.681206451397488,0.000000225019
"NHS_ENF_CCG-2019","E38000057","2019",103525700,1.35386961884827,1.13239900816899,1.2457389807555,1.53720960109422,6.4373397137136,0.449437192890268,4.00019318874444,0.141651783083814,0,0.337027424108217,0,0.156128381648228,0.084845598725727,0,6.97964701346729,102148203,2.70560902574077,0,0,0.122083695159753,6664301,126388,3.63912269676591,NA,NA,NA,"E12000007","London",49,7.6,40,37.4,333794,855071,3.4,NA,2.5616727682343,333794,1478,310988,6,"Urban with Major Conurbation","Predominantly Urban",55,10.35257,3.63912269676591,11.0573216,82,2.1332169204089,2.7,333869,5,34.6,40.8,22635,"NHS_ENF_CCG",252,80.8,0.64373397137136,0.363912269676591,NA,NA,0.279821701694769,2.79821701694769,0.428455847825397,0.7,-0.000224664240239036,2.6,2.8,-0.799999999999997,-0.7047516,NaN,0.130805287599522,-0.126725070243477,8.8071316,0.0305480256227977,1.30805287599522,0.00000110573216
"NHS_ENF_CCG-2020","E38000057","2020",63033205,1.48593586507302,1.42868350102141,1.30635115253936,1.74205960176069,6.57204246555446,0.823535785622832,4.61106808705031,0.115428050977259,0,0.107327558546325,0,0,0.0936871288712037,0.0402867028576446,7.50058937374108,62150716,3.25662378531568,0,0,0,4142569,0,6.4373397137136,NA,NA,NA,"E12000007","London",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,1478,310988,6,"Urban with Major Conurbation","Predominantly Urban",55,6.3033205,6.4373397137136,10.35257,NA,2.5616727682343,3.4,333794,7.6,37.4,40,NA,"NHS_ENF_CCG",252,80.8,0.657204246555447,0.64373397137136,NA,NA,0.0134702751840865,0.134702751840865,NA,NA,NA,NA,NA,NA,-4.0492495,NA,0.279821701694769,0.428455847825397,-0.7047516,NaN,2.79821701694769,0.000001035257
"NHS_ENF_CCG-2021","E38000057","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57204246555446,NA,NA,NA,"E12000007","London",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,1478,310988,6,"Urban with Major Conurbation","Predominantly Urban",55,NA,6.57204246555446,6.3033205,NA,NA,NA,NA,NA,NA,NA,NA,"NHS_ENF_CCG",252,80.8,NA,0.657204246555447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0134702751840865,NA,-4.0492495,NA,0.134702751840865,0.00000063033205
"NHS_ERY_CCG-2010","E38000052","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.8,85.7,NA,"E12000003","Yorkshire and The Humber",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,125426,187505,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHS_ERY_CCG",211,77.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NHS_ERY_CCG-2011","E38000052","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.3,88.4,137.9,"E12000003","Yorkshire and The Humber",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,125426,187505,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",50,NA,NA,NA,85.7,NA,NA,NA,NA,NA,NA,NA,"NHS_ERY_CCG",211,77.9,NA,NA,NA,0.0310191440398642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NHS_ERY_CCG-2012","E38000052","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,81.3,148.7,"E12000003","Yorkshire and The Humber",44,7.2,31.5,1,335901,651040,3.3,16866,1.93819012149413,314482,125426,187505,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",50,NA,NA,NA,88.4,NA,NA,NA,NA,NA,NA,NA,"NHS_ERY_CCG",211,77.9,NA,NA,0.0754020686668531,-0.0837259530898331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NHS_ERY_CCG-2013","E38000052","2013",203058516,0,1.44274471108614,0,0.209715902779473,2.48256812829263,0.030779305015703,1.71463431752845,0.0710012083413433,0.0621737036628397,0.608369953811738,0,0.0948170033902937,0,0,2.51334743330834,203058516,1.71463431752845,0,0,0,5041066,0,NA,200.7,77.9,122.8,"E12000003","Yorkshire and The Humber",44,7.9,32.3,1.2,336072,626830,2.6,17073,1.86516579780523,314593,125426,187505,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",50,20.3058516,NA,NA,81.3,1.93819012149413,3.3,314482,7.2,1,31.5,16866,"NHS_ERY_CCG",211,77.9,0.248256812829263,NA,-0.191373837753067,-0.0427200636770628,NA,NA,-0.0730243236888983,-0.7,0.000352899101544679,0.7,0.2,0.799999999999997,NA,0.0121985071366453,NA,NA,NA,NA,NA,NA
"NHS_ERY_CCG-2014","E38000052","2014",305279500,0.0755324219281019,2.45245488151022,0,0.495302501478154,4.19520898062267,0.137695783699855,2.98106358271682,0.064473376037369,0.0333061997284456,1.05076167905149,0,0.0827061758159326,0,0,4.31652633078867,305279500,2.98106358271682,0,0,0,12807113,0,2.48256812829263,211.3,84.1,127.2,"E12000003","Yorkshire and The Humber",44,4.1,35.7,2.1,337242,626830,1.8,17472,1.85869494309724,315827,125426,187505,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",50,30.52795,2.48256812829263,20.3058516,77.9,1.86516579780523,2.6,314593,7.9,1.2,32.3,17073,"NHS_ERY_CCG",211,77.9,0.419520898062267,0.248256812829263,0.0352036351929801,0.0765806141022001,0.171264085233004,1.71264085233004,-0.00647085470799058,-0.8,0.00391485541712733,-3.8,0.9,3.40000000000001,10.2220984,0.0231013312733985,NA,-0.0730243236888983,NA,0.0121985071366453,NA,0.00000203058516
"NHS_ERY_CCG-2015","E38000052","2015",284393482,0.0252182291575867,2.38174023974291,0.0237980137674182,0.468610247544281,4.01850806130641,0.0974315578723425,2.90111747357135,0.0465773684644432,0.0269689725167471,0.981538318096896,0,0.136074848578984,0,0,4.11691936421584,284325802,2.87800436767958,0,0,0.0298951999188223,11428375,85020,4.19520898062267,218.8,84.9,133.9,"E12000003","Yorkshire and The Humber",44,4.5,35,0.8,336756,643415,1.5,18503,1.9106266851964,315112,125426,187505,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",50,28.4393482,4.19520898062267,30.52795,84.1,1.85869494309724,1.8,315827,4.1,2.1,35.7,17472,"NHS_ERY_CCG",211,77.9,0.401850806130641,0.419520898062267,0.0513326017911053,0.00946752633839942,-0.0176700919316262,-0.176700919316263,0.0519317420991616,-0.3,-0.00226646413067222,0.4,-1.3,-0.700000000000003,-2.0886018,0.0573332815370851,0.171264085233004,-0.00647085470799058,10.2220984,0.0231013312733985,1.71264085233004,0.000003052795
"NHS_ERY_CCG-2016","E38000052","2016",187994529,0,2.42031937003869,0.0177398779514483,0.572124628158727,4.79316076267305,0.139462037217051,3.02916847117397,0,0.0189845950251031,1.01450345930014,0,0.697614982189189,0,0,4.9334979964134,187961179,3.01196291176701,0,0,0.527345133538434,9010880,991380,4.01850806130641,205.1,74.8,130.3,"E12000003","Yorkshire and The Humber",44,3.8,36.6,1.3,337804,700283,1.5,18494,2.07304531621887,315985,125426,187505,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",50,18.7994529,4.01850806130641,28.4393482,84.9,1.9106266851964,1.5,315112,4.5,0.8,35,18503,"NHS_ERY_CCG",211,77.9,0.479316076267304,0.401850806130641,-0.0272537685663279,-0.12665620833687,0.0774652701366633,0.774652701366633,0.162418631022469,0,0.00276661291953317,-0.7,0.5,1.6,-9.6398953,-0.00048652594413312,-0.0176700919316262,0.0519317420991616,-2.0886018,0.0573332815370851,-0.176700919316263,0.00000284393482
"NHS_ERY_CCG-2017","E38000052","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.79316076267305,201.3,82.3,119.1,"E12000003","Yorkshire and The Humber",44,3.3,37.6,2.6,338061,661339,1.5,19211,1.9562712054925,316103,125426,187505,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",50,NA,4.79316076267305,18.7994529,74.8,2.07304531621887,1.5,315985,3.8,1.3,36.6,18494,"NHS_ERY_CCG",211,77.9,NA,0.479316076267304,-0.0898760077695453,0.0955532227025921,NA,NA,-0.116774110726373,0,0.000373365738221665,-0.5,1.3,1,NA,0.0380366764908597,0.0774652701366633,0.162418631022469,-9.6398953,-0.00048652594413312,0.774652701366633,0.00000187994529
"NHS_ERY_CCG-2018","E38000052","2018",372568530,0.00979202403380661,2.22573763811989,0.228783413349485,9.01176274872169,13.3980239823262,0.0871372576744472,11.4662838001911,0.0112239753583052,0,1.45743066382982,0,0.533495676620889,0,0,13.5091327951566,371716155,11.263268877835,0,0,0.398102061921333,49916821,1483203,NA,202.1,82.7,119.4,"E12000003","Yorkshire and The Humber",44,3.4,33.4,1.8,339614,674633,1.8,20350,1.98646993351275,317404,125426,187505,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",50,37.256853,NA,NA,82.3,1.9562712054925,1.5,316103,3.3,2.6,37.6,19211,"NHS_ERY_CCG",211,77.9,1.33980239823262,NA,0.0025157245972478,0.00484849434662138,NA,NA,0.0301987280202529,0.3,0.00410730056330877,0.1,-0.8,-4.2,NA,0.0575978802422981,NA,-0.116774110726373,NA,0.0380366764908597,NA,NA
"NHS_ERY_CCG-2019","E38000052","2019",315038681,0,1.57204790988825,0.783518707025059,7.91039339070874,12.2077082337708,0.127847157917729,10.2765187110468,0.0382854573975314,0.0105587034247391,1.55308611135278,0,0.389240456475883,0,0,12.392060200065,312570294,9.56796681389051,0,0,0.269303755750552,38459003,848411,13.3980239823262,198.3,72.4,126,"E12000003","Yorkshire and The Humber",44,3.6,36.1,1.8,341173,725494,2.2,NA,2.12646956236279,318400,125426,187505,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",50,31.5038681,13.3980239823262,37.256853,82.7,1.98646993351275,1.8,317404,3.4,1.8,33.4,20350,"NHS_ERY_CCG",211,77.9,1.22077082337708,1.33980239823262,0.0538027059929762,-0.133013302637974,-0.119031574855533,-1.19031574855533,0.139999628850037,0.4,0.00313304356287425,0.2,0,2.7,-5.7529849,NaN,NA,0.0301987280202529,NA,0.0575978802422981,NA,0.0000037256853
"NHS_ERY_CCG-2020","E38000052","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2077082337708,NA,NA,NA,"E12000003","Yorkshire and The Humber",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,125426,187505,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",50,NA,12.2077082337708,31.5038681,72.4,2.12646956236279,2.2,318400,3.6,1.8,36.1,NA,"NHS_ERY_CCG",211,77.9,NA,1.22077082337708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.119031574855533,0.139999628850037,-5.7529849,NaN,-1.19031574855533,0.00000315038681
"NHS_ESTA_CCG-2010","E38000053","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.2,100,NA,"E12000005","West Midlands",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,35599,87409,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHS_ESTA_CCG",87,84.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NHS_ESTA_CCG-2011","E38000053","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.6,84.6,141,"E12000005","West Midlands",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,35599,87409,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",51,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,"NHS_ESTA_CCG",87,84.1,NA,NA,NA,-0.167235919375914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NHS_ESTA_CCG-2012","E38000053","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.5,96.6,137.9,"E12000005","West Midlands",45,3.4,28.25,5.95,107831,29112,2.15,17280,0.272315002745275,124051,35599,87409,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",51,NA,NA,NA,84.6,NA,NA,NA,NA,NA,NA,NA,"NHS_ESTA_CCG",87,84.1,NA,NA,-0.0222311055789124,0.132644474606295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NHS_ESTA_CCG-2013","E38000053","2013",54617022,1.12508514286993,0.495279658418579,0.867692859563086,0.0791804430494215,2.91414826681689,8.97012107324343,1.44215296103109,0.313085543184687,0,0,0,0.0547228664353029,0,0,2.96073661370862,54143114,0.579488279894651,0,0,0,1591621,0,NA,236.1,84.1,152,"E12000005","West Midlands",45,4.55,26.45,5.8,108328,28135,1.45,17924,0.260925823124017,124624,35599,87409,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",51,5.4617022,NA,NA,96.6,0.272315002745275,2.15,124051,3.4,5.95,28.25,17280,"NHS_ESTA_CCG",87,84.1,0.291414826681689,NA,0.0973517360470204,-0.13857217423957,NA,NA,-0.0113891796212572,-0.7,0.00460843280665557,1.15,-0.149999999999999,-1.8,NA,0.0365908335479865,NA,NA,NA,NA,NA,NA
"NHS_ESTA_CCG-2014","E38000053","2014",143147839,0.670628356464396,0.315322957826838,0.957195728256855,0.0256105857106233,2.06222184045684,10.0140373058653,1.29812927179432,0.0599701683236727,0,0.0205661504956425,0,0.0189147109653538,0,0,2.12557927155139,141777634,0.34422848388061,0,0,0,2952026,0,2.91414826681689,213.3,77.6,135.8,"E12000005","West Midlands",45,4.4,26.35,5.75,108891,28135,0.85,18503,0.259637248735092,125394,35599,87409,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",51,14.3147839,2.91414826681689,5.4617022,84.1,0.260925823124017,1.45,124624,4.55,5.8,26.45,17924,"NHS_ESTA_CCG",87,84.1,0.206222184045684,0.291414826681689,-0.112697305721681,-0.0804391397897293,-0.0851926426360047,-0.851926426360047,-0.00128857438892527,-0.6,0.00615957598657602,-0.15,-0.0499999999999998,-0.0999999999999979,8.8530817,0.0317922841756832,NA,-0.0113891796212572,NA,0.0365908335479865,NA,0.00000054617022
"NHS_ESTA_CCG-2015","E38000053","2015",126526089,0.710036172856019,0.21411078311288,1.18174995514166,0.0459367711903274,2.47245214384205,9.0484097710473,1.44179750944487,0.0451290326376879,0,0.0524002603131122,0,0.0433246616830146,0,0,2.36834157120577,125030867,0.263157416960086,0,0,0.0433246616830146,3128297,54817,2.06222184045684,245.1,87.9,157.2,"E12000005","West Midlands",45,3.05,30.4,3.6,109381,27852.5,0.65,19452.5,0.255733585598345,125908,35599,87409,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",51,12.6526089,2.06222184045684,14.3147839,77.6,0.259637248735092,0.85,125394,4.4,5.75,26.35,18503,"NHS_ESTA_CCG",87,84.1,0.247245214384205,0.206222184045684,0.14633566487051,0.124632377501959,0.0410230303385206,0.410230303385206,-0.00390366313674684,-0.2,0.00409070136143619,-1.35,-2.15,4.05,-1.662175,0.0500427154093686,-0.0851926426360047,-0.00128857438892527,8.8530817,0.0317922841756832,-0.851926426360047,0.00000143147839
"NHS_ESTA_CCG-2016","E38000053","2016",137418898,0.723472545966713,0.262851765846645,22.6019269926033,0.0501037346406315,24.1272514061348,9.1485037232652,22.9148824930906,0.0673022425198025,0,0.0216280296469849,0.119494481756068,0.155207910341415,0,0,31.211877963526,106359579,0.404345338749413,0,0.119494481756068,0.127362395236207,33155403,175020,2.47245214384205,234.8,86.3,148.4,"E12000005","West Midlands",45,2.5,31.75,8.9,109884,28071,0.7,19434,0.256964639653478,126595,35599,87409,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",51,13.7418898,2.47245214384205,12.6526089,87.9,0.255733585598345,0.65,125908,3.05,3.6,30.4,19452.5,"NHS_ESTA_CCG",87,84.1,2.41272514061348,0.247245214384205,-0.0576075492618262,-0.0183702066017499,2.16547992622928,21.6547992622928,0.00123105405513257,0.05,0.00544153293376937,-0.55,5.3,1.35,1.0892809,-0.000951487091700898,0.0410230303385206,-0.00390366313674684,-1.662175,0.0500427154093686,0.410230303385206,0.00000126526089
"NHS_ESTA_CCG-2017","E38000053","2017",101439205,0.60323027965371,0.345586304624529,30.318893962152,0.189841787502179,31.5306729779674,8.86248664902293,30.8543220542787,0,0,0.0606274467549307,0.431675307392245,0.0377221016272752,0,0,45.905667990305,70683960,0.768397809064461,0,0.431675307392245,0,31984464,0,24.1272514061348,237,95.5,141.6,"E12000005","West Midlands",45,2.7,33.15,3.05,110529.5,27049.5,0.8,20022.5,0.247245852984493,127234,35599,87409,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",51,10.1439205,24.1272514061348,13.7418898,86.3,0.256964639653478,0.7,126595,2.5,8.9,31.75,19434,"NHS_ESTA_CCG",87,84.1,3.15306729779674,2.41272514061348,-0.0469051494736608,0.101296649397303,0.740342157183261,7.40342157183261,-0.00971878666898468,0.1,0.00503489632702703,0.2,-5.85,1.40000000000001,-3.5979693,0.0298325317984531,2.16547992622928,0.00123105405513257,1.0892809,-0.000951487091700898,21.6547992622928,0.00000137418898
"NHS_ESTA_CCG-2018","E38000053","2018",15749807,0.987529561473357,0.573353057596198,37.258583549627,0.571321286667195,39.3297263896631,6.86521428484806,38.4032578938904,0,0,0,1.08361327856272,0,0,0,64.5098613065912,9881652,1.82443178529258,0,1.08361327856272,0,6194356,0,31.5306729779674,255.9,97.1,158.8,"E12000005","West Midlands",45,4.2,38.85,4.4,111269.5,28470.5,1.2,21035.5,0.258931089107581,128418,35599,87409,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",51,1.5749807,31.5306729779674,10.1439205,95.5,0.247245852984493,0.8,127234,2.7,3.05,33.15,20022.5,"NHS_ESTA_CCG",87,84.1,3.93297263896631,3.15306729779674,0.114639367553417,0.0166151278105948,0.779905341169561,7.79905341169561,0.0116852361230874,0.4,0.00926265756007894,1.5,1.35,5.69999999999999,-8.5689398,0.0493548454515818,0.740342157183261,-0.00971878666898468,-3.5979693,0.0298325317984531,7.40342157183261,0.00000101439205
"NHS_ESTA_CCG-2019","E38000053","2019",21080442,0.781662927181508,0.428368627185331,8.67252688534709,0.643772080300783,10.7770178632877,1.2022281126743,9.7446675928332,0.17270985115018,0,0.645935222800357,0.504182976808551,0,0,0,12.9743637556886,19252235,1.17395201128596,0,0.504182976808551,0,2271843,0,39.3297263896631,235.6,85.7,149.9,"E12000005","West Midlands",45,NA,44.85,5.7,112255,27952,2,NA,0.25234859660211,129944,35599,87409,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",51,2.1080442,39.3297263896631,1.5749807,97.1,0.258931089107581,1.2,128418,4.2,4.4,38.85,21035.5,"NHS_ESTA_CCG",87,84.1,1.07770178632877,3.93297263896631,-0.0576771437044838,-0.124888549693545,-2.85527085263754,-28.5527085263754,-0.00658249250547105,0.8,0.0118130200706137,NaN,1.3,6.00000000000001,0.5330635,NaN,0.779905341169561,0.0116852361230874,-8.5689398,0.0493548454515818,7.79905341169561,0.00000015749807
"NHS_ESTA_CCG-2020","E38000053","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7770178632877,NA,NA,NA,"E12000005","West Midlands",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,35599,87409,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",51,NA,10.7770178632877,2.1080442,85.7,0.25234859660211,2,129944,NA,5.7,44.85,NA,"NHS_ESTA_CCG",87,84.1,NA,1.07770178632877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.85527085263754,-0.00658249250547105,0.5330635,NaN,-28.5527085263754,0.00000021080442
"NHS_FAG_CCG-2010","E38000059","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,85.2,NA,"E12000008","South East",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,885,193318,4,"Urban with City and Town","Predominantly Urban",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHS_FAG_CCG",152,90.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
