"","CompanyNumber","SICCode.SicText_1"
"51464","03544558","62020 - Information technology consultancy activities"
"51466","03546124","86102 - Medical nursing home activities"
"51470","03549053","86900 - Other human health activities"
"51482","03550187","86900 - Other human health activities"
"51548","03554493","88990 - Other social work activities without accommodation n.e.c."
"51605","03554508","94110 - Activities of business and employers membership organizations"
"51612","03555482","88990 - Other social work activities without accommodation n.e.c."
"51613","03558696","47749 - Retail sale of medical and orthopaedic goods in specialised stores (not incl. hearing aids) n.e.c."
"51614","03560335","88100 - Social work activities without accommodation for the elderly and disabled"
"51624","03562176","94110 - Activities of business and employers membership organizations"
"51748","03562830","94990 - Activities of other membership organizations n.e.c."
"51753","03569518","69201 - Accounting and auditing activities"
"51969","03574377","87300 - Residential care activities for the elderly and disabled"
"51979","03575529","86900 - Other human health activities"
"51980","03577098","87900 - Other residential care activities n.e.c."
"51981","03578977","70100 - Activities of head offices"
"51997","03582208","88100 - Social work activities without accommodation for the elderly and disabled"
"51999","03583324","85590 - Other education n.e.c."
"52025","03584437","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"52026","03585165","87100 - Residential nursing care facilities"
"52028","03592375","96090 - Other service activities n.e.c."
"52070","03594951","85421 - First-degree level higher education"
"52081","03597932","17230 - Manufacture of paper stationery"
"52083","03598629","47741 - Retail sale of hearing aids"
"53246","03599431","86101 - Hospital activities"
"53377","03600170","62020 - Information technology consultancy activities"
"53378","03607981","86900 - Other human health activities"
"53380","03609926","47540 - Retail sale of electrical household appliances in specialised stores"
"53381","03610843","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"53382","03612679","62020 - Information technology consultancy activities"
"53397","03613893","86900 - Other human health activities"
"53414","03613914","86900 - Other human health activities"
"53476","03615904","86101 - Hospital activities"
"53529","03616409","96090 - Other service activities n.e.c."
"53531","03620136","70229 - Management consultancy activities other than financial management"
"53534","03630117","85590 - Other education n.e.c."
"53624","03643845","78200 - Temporary employment agency activities"
"53625","03646570","87100 - Residential nursing care facilities"
"53626","03646929","86101 - Hospital activities"
"54246","03647417","86900 - Other human health activities"
"54248","03653156","99999 - Dormant Company"
"54263","03658581","87100 - Residential nursing care facilities"
"54284","03668281","6420 - Telecommunications"
"54315","03669454","86900 - Other human health activities"
"54317","03673267","86900 - Other human health activities"
"54318","03673303","68209 - Other letting and operating of own or leased real estate"
"54321","03676785","87300 - Residential care activities for the elderly and disabled"
"54352","03679828","70229 - Management consultancy activities other than financial management"
"55254","03679849","86210 - General medical practice activities"
"55263","03682015","86900 - Other human health activities"
"55270","03682512","78200 - Temporary employment agency activities"
"55271","03683905","47990 - Other retail sale not in stores, stalls or markets"
"55272","03685650","87300 - Residential care activities for the elderly and disabled"
"55281","03690891","86900 - Other human health activities"
"55305","03693499","82990 - Other business support service activities n.e.c."
"55306","03694575","88100 - Social work activities without accommodation for the elderly and disabled"
"55339","03697578","88990 - Other social work activities without accommodation n.e.c."
"55342","03698429","78200 - Temporary employment agency activities"
"55344","03699617","64999 - Financial intermediation not elsewhere classified"
"55345","03701610","86900 - Other human health activities"
"55355","03701832","70229 - Management consultancy activities other than financial management"
"55358","03702742","86900 - Other human health activities"
"55359","03705039","94120 - Activities of professional membership organizations"
"55373","03705372","94990 - Activities of other membership organizations n.e.c."
"55375","03709632","86900 - Other human health activities"
"55387","03709684","88990 - Other social work activities without accommodation n.e.c."
"55388","03711580","88100 - Social work activities without accommodation for the elderly and disabled"
"55432","03713056","87100 - Residential nursing care facilities"
"55433","03716594","55900 - Other accommodation"
"55434","03716745","86900 - Other human health activities"
"55438","03716748","86900 - Other human health activities"
"55442","03719282","49390 - Other passenger land transport"
"55443","03722374","88100 - Social work activities without accommodation for the elderly and disabled"
"55445","03723269","87300 - Residential care activities for the elderly and disabled"
"55446","03725494","88990 - Other social work activities without accommodation n.e.c."
"55449","03728172","87100 - Residential nursing care facilities"
"55466","03730562","86900 - Other human health activities"
"55470","03734790","86900 - Other human health activities"
"55509","03737832","86900 - Other human health activities"
"55512","03744715","32500 - Manufacture of medical and dental instruments and supplies"
"55514","03745092","86900 - Other human health activities"
"55515","03745303","82990 - Other business support service activities n.e.c."
"55518","03750656","94990 - Activities of other membership organizations n.e.c."
"55523","03751343","87300 - Residential care activities for the elderly and disabled"
"55557","03755216","96090 - Other service activities n.e.c."
"55597","03758749","62020 - Information technology consultancy activities"
"55598","03767831","47789 - Other retail sale of new goods in specialised stores (not commercial art galleries and opticians)"
"55601","03769775","85100 - Pre-primary education"
"55602","03773485","86101 - Hospital activities"
"55603","03773810","88990 - Other social work activities without accommodation n.e.c."
"55604","03776850","45200 - Maintenance and repair of motor vehicles"
"55606","03777156","96040 - Physical well-being activities"
"55613","03777230","66220 - Activities of insurance agents and brokers"
"55640","03780243","85590 - Other education n.e.c."
"55641","03783310","86210 - General medical practice activities"
"55791","03785437","86900 - Other human health activities"
"55816","03786712","99999 - Dormant Company"
"55828","03790143","93110 - Operation of sports facilities"
"55830","03790911","86900 - Other human health activities"
"55848","03790965","88990 - Other social work activities without accommodation n.e.c."
"55849","03800523","82990 - Other business support service activities n.e.c."
"55851","03801034","87900 - Other residential care activities n.e.c."
"55924","03801323","86210 - General medical practice activities"
"55951","03804617","86900 - Other human health activities"
"55952","03808242","99999 - Dormant Company"
"55954","03809663","86900 - Other human health activities"
"55961","03813660","86101 - Hospital activities"
"55972","03813761","70229 - Management consultancy activities other than financial management"
"56145","03818782","68100 - Buying and selling of own real estate"
"56146","03821527","88100 - Social work activities without accommodation for the elderly and disabled"
"56147","03822686","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"56148","03826287","96090 - Other service activities n.e.c."
"56153","03829618","86900 - Other human health activities"
"56159","03830455","86900 - Other human health activities"
"56181","03832843","86900 - Other human health activities"
"56291","03838790","62020 - Information technology consultancy activities"
"56297","03841429","86210 - General medical practice activities"
"56303","03847523","41202 - Construction of domestic buildings"
"56305","03847954","86102 - Medical nursing home activities"
"56412","03848694","86900 - Other human health activities"
"56414","03853734","87900 - Other residential care activities n.e.c."
"56470","03853900","87100 - Residential nursing care facilities"
"56539","03856015","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"56566","03858302","82990 - Other business support service activities n.e.c."
"56568","03861209","88990 - Other social work activities without accommodation n.e.c."
"56599","03861655","61900 - Other telecommunications activities"
"56600","03864079","86102 - Medical nursing home activities"
"56603","03864182","87100 - Residential nursing care facilities"
"56609","03864648","77110 - Renting and leasing of cars and light motor vehicles"
"56612","03866683","85590 - Other education n.e.c."
"56613","03868190","86900 - Other human health activities"
"56615","03869398","62020 - Information technology consultancy activities"
"56738","03871429","87100 - Residential nursing care facilities"
"56763","03872364","87100 - Residential nursing care facilities"
"56773","03876501","70229 - Management consultancy activities other than financial management"
"56800","03876881","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"56961","03881965","62020 - Information technology consultancy activities"
"56966","03883551","86220 - Specialists medical practice activities"
"56968","03888655","86900 - Other human health activities"
"56973","03893827","87300 - Residential care activities for the elderly and disabled"
"57040","03895635","94990 - Activities of other membership organizations n.e.c."
"57042","03897291","47799 - Retail sale of other second-hand goods in stores (not incl. antiques)"
"57044","03900667","90040 - Operation of arts facilities"
"57046","03900693","46730 - Wholesale of wood, construction materials and sanitary equipment"
"57048","03902228","62090 - Other information technology service activities"
"57051","03902253","86220 - Specialists medical practice activities"
"57053","03903413","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"57062","03908267","70100 - Activities of head offices"
"57063","03908326","70229 - Management consultancy activities other than financial management"
"57067","03914852","87100 - Residential nursing care facilities"
"57070","03914934","68320 - Management of real estate on a fee or contract basis"
"57071","03917286","43220 - Plumbing, heat and air-conditioning installation"
"57074","03918210","94990 - Activities of other membership organizations n.e.c."
"57075","03918287","86900 - Other human health activities"
"57099","03919664","46520 - Wholesale of electronic and telecommunications equipment and parts"
"57102","03920526","94990 - Activities of other membership organizations n.e.c."
"57103","03921436","88100 - Social work activities without accommodation for the elderly and disabled"
"57113","03922318","62012 - Business and domestic software development"
"57115","03922399","87300 - Residential care activities for the elderly and disabled"
"57132","03925803","86900 - Other human health activities"
"57138","03926407","87100 - Residential nursing care facilities"
"57166","03927936","46900 - Non-specialised wholesale trade"
"57201","03929334","82990 - Other business support service activities n.e.c."
"57202","03930001","62090 - Other information technology service activities"
"57205","03934288","61900 - Other telecommunications activities"
"57206","03935612","78200 - Temporary employment agency activities"
"57208","03936122","87900 - Other residential care activities n.e.c."
"57275","03937507","88100 - Social work activities without accommodation for the elderly and disabled"
"57276","03942023","85590 - Other education n.e.c."
"57280","03942462","88100 - Social work activities without accommodation for the elderly and disabled"
"57283","03943067","96090 - Other service activities n.e.c."
"57285","03944030","87300 - Residential care activities for the elderly and disabled"
"57288","03949686","78200 - Temporary employment agency activities"
"57293","03949942","87100 - Residential nursing care facilities"
"57329","03949975","28220 - Manufacture of lifting and handling equipment"
"57330","03951868","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"57332","03955487","86220 - Specialists medical practice activities"
"57348","03959933","88100 - Social work activities without accommodation for the elderly and disabled"
"57349","03960882","86210 - General medical practice activities"
"57375","03961045","70229 - Management consultancy activities other than financial management"
"57381","03965910","88990 - Other social work activities without accommodation n.e.c."
"57382","03966098","78200 - Temporary employment agency activities"
"57407","03967951","85200 - Primary education"
"57408","03974527","70229 - Management consultancy activities other than financial management"
"57409","03977299","86101 - Hospital activities"
"57446","03978762","87300 - Residential care activities for the elderly and disabled"
"57447","03981809","43290 - Other construction installation"
"57448","03983561","86900 - Other human health activities"
"57550","03986971","47730 - Dispensing chemist in specialised stores"
"57558","03988903","94990 - Activities of other membership organizations n.e.c."
"57559","03989442","88990 - Other social work activities without accommodation n.e.c."
"57562","03990043","78109 - Other activities of employment placement agencies"
"57563","03993042","87100 - Residential nursing care facilities"
"57624","03997337","87900 - Other residential care activities n.e.c."
"57631","04004120","86900 - Other human health activities"
"57637","04004500","86900 - Other human health activities"
"57653","04005808","62012 - Business and domestic software development"
"57654","04007229","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"57678","04009023","62012 - Business and domestic software development"
"57685","04009674","86900 - Other human health activities"
"57687","04014026","87900 - Other residential care activities n.e.c."
"57689","04015584","78200 - Temporary employment agency activities"
"57692","04017696","62012 - Business and domestic software development"
"57697","04017871","86900 - Other human health activities"
"57698","04018315","86900 - Other human health activities"
"57699","04020287","87100 - Residential nursing care facilities"
"57701","04021434","68209 - Other letting and operating of own or leased real estate"
"57702","04022083","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"57731","04024662","82990 - Other business support service activities n.e.c."
"57740","04026296","88100 - Social work activities without accommodation for the elderly and disabled"
"57742","04034200","86900 - Other human health activities"
"57744","04035160","87300 - Residential care activities for the elderly and disabled"
"57749","04036447","87300 - Residential care activities for the elderly and disabled"
"57750","04036700","26200 - Manufacture of computers and peripheral equipment"
"57757","04036712","87100 - Residential nursing care facilities"
"57758","04036749","46650 - Wholesale of office furniture"
"57760","04040078","70229 - Management consultancy activities other than financial management"
"57763","04041867","86900 - Other human health activities"
"57768","04041880","86900 - Other human health activities"
"57769","04042477","86900 - Other human health activities"
"57770","04043124","87100 - Residential nursing care facilities"
"58129","04043451","62090 - Other information technology service activities"
"58130","04046674","86900 - Other human health activities"
"58140","04046728","96090 - Other service activities n.e.c."
"58143","04047663","63990 - Other information service activities n.e.c."
"58158","04050994","84120 - Regulation of health care, education, cultural and other social services, not incl. social security"
"58163","04052119","70229 - Management consultancy activities other than financial management"
"58164","04059699","86900 - Other human health activities"
"58170","04062939","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"58175","04063351","86900 - Other human health activities"
"58255","04063391","86101 - Hospital activities"
"58894","04064193","62020 - Information technology consultancy activities"
"58895","04064685","85590 - Other education n.e.c."
"58896","04068070","82990 - Other business support service activities n.e.c."
"58897","04069308","87100 - Residential nursing care facilities"
"58911","04071152","88100 - Social work activities without accommodation for the elderly and disabled"
"58915","04071966","86900 - Other human health activities"
"58916","04074062","68209 - Other letting and operating of own or leased real estate"
"58929","04075104","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"58930","04077829","62012 - Business and domestic software development"
"58958","04077890","87300 - Residential care activities for the elderly and disabled"
"58959","04079081","78200 - Temporary employment agency activities"
"59150","04083606","86900 - Other human health activities"
"59151","04084131","62090 - Other information technology service activities"
"59159","04084653","68209 - Other letting and operating of own or leased real estate"
"59176","04087290","32990 - Other manufacturing n.e.c."
"59177","04088225","49390 - Other passenger land transport"
"59609","04090701","94990 - Activities of other membership organizations n.e.c."
"59610","04095134","82990 - Other business support service activities n.e.c."
"59612","04096732","63990 - Other information service activities n.e.c."
"59614","04098341","86900 - Other human health activities"
"59618","04099715","86900 - Other human health activities"
"59639","04099810","85421 - First-degree level higher education"
"59640","04103437","61900 - Other telecommunications activities"
"59643","04103810","70229 - Management consultancy activities other than financial management"
"59670","04107056","82990 - Other business support service activities n.e.c."
"59673","04114998","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"59676","04115234","94990 - Activities of other membership organizations n.e.c."
"59684","04116911","88100 - Social work activities without accommodation for the elderly and disabled"
"59685","04118341","86900 - Other human health activities"
"59692","04120488","86900 - Other human health activities"
"59695","04122364","96090 - Other service activities n.e.c."
"61149","04124206","86900 - Other human health activities"
"61150","04124744","86900 - Other human health activities"
"61152","04126127","86900 - Other human health activities"
"61272","04128285","86102 - Medical nursing home activities"
"61273","04128980","94990 - Activities of other membership organizations n.e.c."
"61274","04133376","62012 - Business and domestic software development"
"61278","04133508","86210 - General medical practice activities"
"61279","04136381","62012 - Business and domestic software development"
"61282","04136512","70100 - Activities of head offices"
"61289","04137315","88990 - Other social work activities without accommodation n.e.c."
"61301","04138203","53100 - Postal activities under universal service obligation"
"61302","04141235","33200 - Installation of industrial machinery and equipment"
"61303","04141390","36000 - Water collection, treatment and supply"
"61307","04143079","82990 - Other business support service activities n.e.c."
"61309","04144762","74909 - Other professional, scientific and technical activities n.e.c."
"61315","04145167","86101 - Hospital activities"
"61328","04145329","61900 - Other telecommunications activities"
"61348","04145519","70229 - Management consultancy activities other than financial management"
"61349","04146487","88100 - Social work activities without accommodation for the elderly and disabled"
"61353","04146508","80200 - Security systems service activities"
"61354","04149036","86900 - Other human health activities"
"61355","04149500","86210 - General medical practice activities"
"61396","04150044","86900 - Other human health activities"
"61398","04150543","96090 - Other service activities n.e.c."
"61401","04154208","86900 - Other human health activities"
"61482","04155946","47749 - Retail sale of medical and orthopaedic goods in specialised stores (not incl. hearing aids) n.e.c."
"61486","04157081","62020 - Information technology consultancy activities"
"61491","04157375","86900 - Other human health activities"
"61517","04157398","46610 - Wholesale of agricultural machinery, equipment and supplies"
"61518","04159048","86210 - General medical practice activities"
"61549","04162162","96090 - Other service activities n.e.c."
"61556","04163300","85600 - Educational support services"
"61560","04174491","62012 - Business and domestic software development"
"61565","04174619","94990 - Activities of other membership organizations n.e.c."
"61619","04175283","87100 - Residential nursing care facilities"
"61627","04175500","88100 - Social work activities without accommodation for the elderly and disabled"
"61639","04180163","85510 - Sports and recreation education"
"61645","04184061","63990 - Other information service activities n.e.c."
"61646","04190816","61900 - Other telecommunications activities"
"61727","04191126","86900 - Other human health activities"
"61728","04191487","86900 - Other human health activities"
"61745","04194039","68209 - Other letting and operating of own or leased real estate"
"61748","04194642","86210 - General medical practice activities"
"61750","04195561","7487 - Other business activities"
"61751","04198824","47749 - Retail sale of medical and orthopaedic goods in specialised stores (not incl. hearing aids) n.e.c."
"62018","04199449","88100 - Social work activities without accommodation for the elderly and disabled"
"62031","04199504","86900 - Other human health activities"
"62032","04200219","88100 - Social work activities without accommodation for the elderly and disabled"
"62036","04201068","86220 - Specialists medical practice activities"
"62088","04202179","70229 - Management consultancy activities other than financial management"
"62090","04209709","87100 - Residential nursing care facilities"
"62107","04212642","32500 - Manufacture of medical and dental instruments and supplies"
"62110","04215584","85590 - Other education n.e.c."
"62112","04216714","85590 - Other education n.e.c."
"62146","04216752","69102 - Solicitors"
"62147","04216866","87100 - Residential nursing care facilities"
"62262","04216877","87100 - Residential nursing care facilities"
"62263","04216934","87100 - Residential nursing care facilities"
"62322","04217686","88100 - Social work activities without accommodation for the elderly and disabled"
"62370","04220587","84110 - General public administration activities"
"64769","04220821","87900 - Other residential care activities n.e.c."
"64798","04221822","96090 - Other service activities n.e.c."
"64799","04222281","86210 - General medical practice activities"
"64814","04222727","62020 - Information technology consultancy activities"
"64816","04227065","73110 - Advertising agencies"
"64817","04227431","86900 - Other human health activities"
"64841","04228353","85590 - Other education n.e.c."
"64869","04228723","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"64870","04229975","88990 - Other social work activities without accommodation n.e.c."
"64872","04231521","87300 - Residential care activities for the elderly and disabled"
"64918","04233912","82990 - Other business support service activities n.e.c."
"64920","04235234","87100 - Residential nursing care facilities"
"64969","04237229","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"64970","04239712","87300 - Residential care activities for the elderly and disabled"
"64974","04240054","47749 - Retail sale of medical and orthopaedic goods in specialised stores (not incl. hearing aids) n.e.c."
"64975","04243198","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"64976","04243981","94990 - Activities of other membership organizations n.e.c."
"65000","04245798","96090 - Other service activities n.e.c."
"65013","04246036","85100 - Pre-primary education"
"65029","04248839","87300 - Residential care activities for the elderly and disabled"
"65147","04250960","70100 - Activities of head offices"
"65316","04253883","62090 - Other information technology service activities"
"65317","04254989","96090 - Other service activities n.e.c."
"65318","04257718","78200 - Temporary employment agency activities"
"65321","04263185","87100 - Residential nursing care facilities"
"65347","04267625","47799 - Retail sale of other second-hand goods in stores (not incl. antiques)"
"65348","04274135","62020 - Information technology consultancy activities"
"65351","04279175","70229 - Management consultancy activities other than financial management"
"65358","04283003","94990 - Activities of other membership organizations n.e.c."
"65363","04283506","86900 - Other human health activities"
"65399","04284130","68209 - Other letting and operating of own or leased real estate"
"65415","04286432","96090 - Other service activities n.e.c."
"65453","04288558","86900 - Other human health activities"
"65455","04289538","61900 - Other telecommunications activities"
"65456","04289790","88990 - Other social work activities without accommodation n.e.c."
"65458","04289978","64999 - Financial intermediation not elsewhere classified"
"65503","04290876","74909 - Other professional, scientific and technical activities n.e.c."
"65514","04292896","63990 - Other information service activities n.e.c."
"65518","04294302","87300 - Residential care activities for the elderly and disabled"
"65572","04296589","61900 - Other telecommunications activities"
"65574","04297366","86102 - Medical nursing home activities"
"65627","04298247","62090 - Other information technology service activities"
"65628","04298794","47749 - Retail sale of medical and orthopaedic goods in specialised stores (not incl. hearing aids) n.e.c."
"65629","04298930","82990 - Other business support service activities n.e.c."
"65632","04299764","74300 - Translation and interpretation activities"
"65694","04300126","70100 - Activities of head offices"
"65695","04301694","87100 - Residential nursing care facilities"
"65808","04302089","96090 - Other service activities n.e.c."
"65869","04302563","47730 - Dispensing chemist in specialised stores"
"65895","04305291","87100 - Residential nursing care facilities"
"65896","04305710","55900 - Other accommodation"
"65905","04306308","62020 - Information technology consultancy activities"
"66023","04307228","87100 - Residential nursing care facilities"
"66044","04309519","88100 - Social work activities without accommodation for the elderly and disabled"
"66057","04310159","46460 - Wholesale of pharmaceutical goods"
"66058","04312679","87100 - Residential nursing care facilities"
"66059","04312808","80200 - Security systems service activities"
"66060","04319414","87300 - Residential care activities for the elderly and disabled"
"66061","04320853","78200 - Temporary employment agency activities"
"66072","04323961","86900 - Other human health activities"
"66079","04325234","86900 - Other human health activities"
"66082","04326546","88100 - Social work activities without accommodation for the elderly and disabled"
"66085","04328143","82990 - Other business support service activities n.e.c."
"66087","04330394","61900 - Other telecommunications activities"
"66093","04336164","86210 - General medical practice activities"
"66314","04336719","96090 - Other service activities n.e.c."
"66315","04338746","62012 - Business and domestic software development"
"66319","04339664","66290 - Other activities auxiliary to insurance and pension funding"
"66320","04340251","87900 - Other residential care activities n.e.c."
"66321","04340944","86900 - Other human health activities"
"66322","04342419","87100 - Residential nursing care facilities"
"66323","04343625","85590 - Other education n.e.c."
"66326","04344486","96090 - Other service activities n.e.c."
"66331","04345160","84110 - General public administration activities"
"66333","04348271","86900 - Other human health activities"
"66337","04349535","78109 - Other activities of employment placement agencies"
"66338","04350956","70229 - Management consultancy activities other than financial management"
"66340","04353505","68209 - Other letting and operating of own or leased real estate"
"66343","04356076","78200 - Temporary employment agency activities"
"66347","04357238","87300 - Residential care activities for the elderly and disabled"
"66349","04358614","94110 - Activities of business and employers membership organizations"
"66350","04362082","87100 - Residential nursing care facilities"
"66351","04366596","86220 - Specialists medical practice activities"
"66354","04369554","86900 - Other human health activities"
"66383","04369758","96090 - Other service activities n.e.c."
"66389","04379948","88100 - Social work activities without accommodation for the elderly and disabled"
"66436","04383269","88990 - Other social work activities without accommodation n.e.c."
"66438","04387102","86900 - Other human health activities"
"66452","04391008","86900 - Other human health activities"
"66893","04394643","75000 - Veterinary activities"
"66894","04394913","87100 - Residential nursing care facilities"
"66954","04395039","86900 - Other human health activities"
"66957","04395527","41100 - Development of building projects"
"66962","04396846","88100 - Social work activities without accommodation for the elderly and disabled"
"66963","04399265","87100 - Residential nursing care facilities"
"66967","04400659","88100 - Social work activities without accommodation for the elderly and disabled"
"66968","04402980","86210 - General medical practice activities"
"67002","04404093","88990 - Other social work activities without accommodation n.e.c."
"67003","04404672","86210 - General medical practice activities"
"67209","04406655","86101 - Hospital activities"
"67210","04414960","96040 - Physical well-being activities"
"67211","04416167","96090 - Other service activities n.e.c."
"67218","04416344","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"67219","04418144","62090 - Other information technology service activities"
"67222","04421973","86900 - Other human health activities"
"67223","04423052","86900 - Other human health activities"
"67224","04425107","87100 - Residential nursing care facilities"
"67225","04425969","86900 - Other human health activities"
"67243","04426535","86102 - Medical nursing home activities"
"67251","04426567","94990 - Activities of other membership organizations n.e.c."
"67273","04427424","86900 - Other human health activities"
"67274","04428387","87900 - Other residential care activities n.e.c."
"67283","04430305","87100 - Residential nursing care facilities"
"67329","04430975","87900 - Other residential care activities n.e.c."
"67337","04433255","70100 - Activities of head offices"
"67692","04434303","87100 - Residential nursing care facilities"
"67698","04441043","86900 - Other human health activities"
"67712","04443312","82990 - Other business support service activities n.e.c."
"67724","04446416","82990 - Other business support service activities n.e.c."
"67726","04451141","78109 - Other activities of employment placement agencies"
"67735","04454814","68201 - Renting and operating of Housing Association real estate"
"67738","04456549","87900 - Other residential care activities n.e.c."
"67739","04457635","87300 - Residential care activities for the elderly and disabled"
"67740","04459044","86900 - Other human health activities"
"67741","04461938","86900 - Other human health activities"
"67749","04462768","86900 - Other human health activities"
"67771","04466362","85200 - Primary education"
"67774","04468767","82990 - Other business support service activities n.e.c."
"67851","04473778","86900 - Other human health activities"
"67852","04481860","86900 - Other human health activities"
"67862","04483966","61900 - Other telecommunications activities"
"67865","04484521","86900 - Other human health activities"
"67879","04484936","87100 - Residential nursing care facilities"
"67969","04484993","87100 - Residential nursing care facilities"
"67970","04485004","87100 - Residential nursing care facilities"
"68076","04485012","87100 - Residential nursing care facilities"
"68195","04488714","94990 - Activities of other membership organizations n.e.c."
"68197","04491287","46660 - Wholesale of other office machinery and equipment"
"68198","04493185","87300 - Residential care activities for the elderly and disabled"
"68200","04494488","68310 - Real estate agencies"
"68228","04495270","58190 - Other publishing activities"
"68231","04497154","87100 - Residential nursing care facilities"
"68246","04498683","85421 - First-degree level higher education"
"68248","04499567","61100 - Wired telecommunications activities"
"68251","04501809","88100 - Social work activities without accommodation for the elderly and disabled"
"68252","04501827","86900 - Other human health activities"
"68255","04502704","46650 - Wholesale of office furniture"
"68256","04502825","82990 - Other business support service activities n.e.c."
"68307","04511978","88100 - Social work activities without accommodation for the elderly and disabled"
"68308","04512958","86900 - Other human health activities"
"68366","04513210","41201 - Construction of commercial buildings"
"68370","04514281","31090 - Manufacture of other furniture"
"68371","04516079","21200 - Manufacture of pharmaceutical preparations"
"68373","04517117","74100 - specialised design activities"
"68374","04522396","43999 - Other specialised construction activities n.e.c."
"68377","04522416","86900 - Other human health activities"
"68466","04530717","74909 - Other professional, scientific and technical activities n.e.c."
"68472","04530972","87100 - Residential nursing care facilities"
"68474","04530979","96090 - Other service activities n.e.c."
"68475","04531834","87100 - Residential nursing care facilities"
"68491","04536431","87300 - Residential care activities for the elderly and disabled"
"68492","04538040","87100 - Residential nursing care facilities"
"68493","04539705","96090 - Other service activities n.e.c."
"68494","04539791","87100 - Residential nursing care facilities"
"68566","04546319","69201 - Accounting and auditing activities"
"68574","04550126","87300 - Residential care activities for the elderly and disabled"
"68575","04558771","96090 - Other service activities n.e.c."
"68578","04562110","86900 - Other human health activities"
"68674","04562981","46460 - Wholesale of pharmaceutical goods"
"68675","04563001","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"68679","04573248","93199 - Other sports activities"
"68680","04575441","87100 - Residential nursing care facilities"
"68681","04575510","58290 - Other software publishing"
"68682","04580370","68209 - Other letting and operating of own or leased real estate"
"68683","04584013","86900 - Other human health activities"
"68684","04584055","87100 - Residential nursing care facilities"
"68699","04584652","82990 - Other business support service activities n.e.c."
"68783","04590303","86101 - Hospital activities"
"68786","04590563","86220 - Specialists medical practice activities"
"68788","04596260","86900 - Other human health activities"
"68789","04598002","87300 - Residential care activities for the elderly and disabled"
"68792","04598899","87100 - Residential nursing care facilities"
"68814","04598990","78200 - Temporary employment agency activities"
"68815","04599477","78200 - Temporary employment agency activities"
"68816","04599793","87100 - Residential nursing care facilities"
"68818","04607426","43210 - Electrical installation"
"68819","04609579","86900 - Other human health activities"
"68821","04609624","94990 - Activities of other membership organizations n.e.c."
"68822","04610288","86230 - Dental practice activities"
"68824","04611507","86900 - Other human health activities"
"68838","04612352","86900 - Other human health activities"
"68840","04614863","74990 - Non-trading company"
"68846","04615103","87300 - Residential care activities for the elderly and disabled"
"68847","04616270","86900 - Other human health activities"
"68849","04616949","86900 - Other human health activities"
"68852","04621443","62020 - Information technology consultancy activities"
"68855","04624932","69201 - Accounting and auditing activities"
"68861","04625595","94990 - Activities of other membership organizations n.e.c."
"68862","04627326","81229 - Other building and industrial cleaning activities"
"68863","04631993","63990 - Other information service activities n.e.c."
"68864","04633724","87300 - Residential care activities for the elderly and disabled"
"68867","04634019","86101 - Hospital activities"
"68876","04636851","63990 - Other information service activities n.e.c."
"68894","04639310","80100 - Private security activities"
"68895","04641729","70229 - Management consultancy activities other than financial management"
"68896","04644258","88990 - Other social work activities without accommodation n.e.c."
"68897","04645635","62012 - Business and domestic software development"
"68901","04647517","86900 - Other human health activities"
"68904","04651403","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"68907","04651938","78200 - Temporary employment agency activities"
"68909","04655406","58190 - Other publishing activities"
"68910","04660523","86900 - Other human health activities"
"68975","04660894","87300 - Residential care activities for the elderly and disabled"
"68977","04662017","87900 - Other residential care activities n.e.c."
"68978","04663533","87100 - Residential nursing care facilities"
"68979","04673444","86900 - Other human health activities"
"68993","04678337","86101 - Hospital activities"
"69054","04679678","86210 - General medical practice activities"
"69098","04680981","86900 - Other human health activities"
"69130","04682292","70229 - Management consultancy activities other than financial management"
"69133","04682318","86900 - Other human health activities"
"69178","04682958","70229 - Management consultancy activities other than financial management"
"69181","04683188","87100 - Residential nursing care facilities"
"69183","04688077","86900 - Other human health activities"
"69184","04689779","94990 - Activities of other membership organizations n.e.c."
"69186","04691402","66290 - Other activities auxiliary to insurance and pension funding"
"69189","04693798","87100 - Residential nursing care facilities"
"69190","04694800","86102 - Medical nursing home activities"
"69212","04695523","88990 - Other social work activities without accommodation n.e.c."
"69235","04695866","86900 - Other human health activities"
"69252","04700102","62012 - Business and domestic software development"
"69255","04702463","85590 - Other education n.e.c."
"69258","04709142","86210 - General medical practice activities"
